Unnamed: 0_level_0,No. of cases (% of total),No. of cases (% of total),No. of cases (% of total),No. of cases (% of total),No. of cases (% of total),No. of cases (% of total),No. of cases (% of total)
Age group (years),< 18,18-44,45-64,65-74,75+,Unknown,Total
Totals,19601,308970,299786,93018,106681,54793,882849
Race missing/unspecified,"13,221(67.5%)","194,433(62.9%)","176,183(58.8%)","45,469(48.9%)","43,952(41.2%)","18,399(33.6%)","491,657(55.7%)"
Race specified,"6,380(32.5%)","114,537(37.1%)","123,603(41.2%)","47,549(51.1%)","62,729(58.8%)","36,394(66.4%)","391,192(44.3%)"
Among those with race specified,Among those with race specified,Among those with race specified,Among those with race specified,Among those with race specified,Among those with race specified,Among those with race specified,Among those with race specified
American Indian or Alaska Native,145(2.3%),"1,211(1.1%)","1,008(0.8%)",276(0.6%),184(0.3%),141(0.4%),"2,965(0.8%)"
Asian,296(4.6%),"5,968(5.2%)","6,499(5.3%)","2,151(4.5%)","2,299(3.7%)","1,737(4.8%)","18,950(4.8%)"
Black or African American,"1,475(23.1%)","31,444(27.5%)","38,166(30.9%)","15,040(31.6%)","13,397(21.4%)","11,734(32.2%)","111,256(28.4%)"
Native Hawaiian or other Pacific Islander,45(0.7%),475(0.4%),355(0.3%),108(0.2%),69(0.1%),78(0.2%),"1,130(0.3%)"
White,"3,158(49.5%)","56,838(49.6%)","60,887(49.3%)","25,306(53.2%)","42,068(67.1%)","15,956(43.8%)","204,213(52.2%)"
Multiple/other,"1,261(19.8%)","18,601(16.2%)","16,688(13.5%)","4,668(9.8%)","4,712(7.5%)","6,748(18.5%)","52,678(13.5%)"
,,,,,,,
Ethnicity missing/unspecified,"12,891(65.8%)","201,060(65.1%)","187,075(62.4%)","51,865(55.8%)","54,991(51.5%)","21,863(39.9%)","529,745(60.0%)"
Ethnicity specified,"6,710(34.2%)","107,910(34.9%)","112,711(37.6%)","41,153(44.2%)","51,690(48.5%)","32,930(60.1%)","353,104(40.0%)"
Among those with ethnicity specified,Among those with ethnicity specified,Among those with ethnicity specified,Among those with ethnicity specified,Among those with ethnicity specified,Among those with ethnicity specified,Among those with ethnicity specified,Among those with ethnicity specified
Hispanic/Latino,"2,662(39.7%)","34,230(31.7%)","28,465(25.3%)","7,272(17.7%)","6,509(12.6%)","10,403(31.6%)","89,541(25.4%)"
Non-Hispanic/Latino,"4,048(60.3%)","73,680(68.3%)","84,246(74.7%)","33,881(82.3%)","45,181(87.4%)","22,527(68.4%)","263,563(74.6%)"
