datetime,total_cases,total_deaths
2020-05-07,1219066,73297
2020-05-08,1248040,75477
2020-05-09,1274036,77034
2020-05-10,1300696,78771
2020-05-11,1324488,79756
2020-05-12,1342594,80820
2020-05-13,1364061,82246
2020-05-14,1384930,83947
2020-05-15,1412121,85990
2020-05-16,1435098,87315
2020-05-17,1467065,88709
2020-05-18,1480349,89407
2020-05-19,1504830,90340
2020-05-20,1528235,91664
2020-05-21,1551095,93061
2020-05-22,1571617,94150
2020-05-23,1595885,96002
2020-05-24,1622114,97049
2020-05-25,1637456,97669
2020-05-26,1662414,98261
2020-05-27,1678843,99031
